Country		Population	Adult literacy rate, both sexes (%)	Expendeture on education as % of GDP	Primary Completion rate, both sexes (%)	Primary Completetion rate, Male(%)	Primary completion rate, Female (%)	Youth (15-24 years) literacy rate, Female (%)	Youth Literacy rate, Male (%)
Andorra		75902	N/A	2.462579966	N/A	N/A	N/A	N/A	N/A
Afghanistan		30682500	31.74111748	4.577469826	N/A	N/A	N/A	32.11322403	61.87907028
Angola		23448202	70.77841187	3.476439953	54.31713867	39.77357864	68.83056641	66.66834259	79.37644196
Albania		2897366	97.2469635	3.268680096	N/A	N/A	N/A	99.02018738	99.37597656
United-Arab-Emirates		9039978	90.03384399	N/A	110.6250076	105.8208237	115.5573425	N/A	93.62515259
Argentina		42538304	97.97376251	5.137589931	110.2098465	111.2158127	109.237587	99.44445801	99.08299255
Armenia		2992192	99.74441528	2.250149965	100.0950699	N/A	N/A	99.87619019	99.81841278
Antigua-and-Barbuda		89985	98.94999695	2.554470062	99.74732208	95.75834656	103.602478	N/A	N/A
Australia		23125868	N/A	4.906410217	N/A	N/A	N/A	N/A	N/A
Austria		8479375	N/A	5.618609905	98.2616806	98.20240784	98.31764984	N/A	N/A
Azerbaijan		9416801	99.78936005	2.435640097	91.99118805	91.59458923	N/A	99.92670441	99.97686768
Burundi		10465959	86.94786835	5.414750099	69.98001099	72.43244171	67.4659729	88.11345673	89.59275055
Belgium		11182817	N/A	6.363890171	90.11844635	92.40740967	87.92247009	N/A	N/A
Benin		10322232	28.7021122	5.01267004	75.68247986	68.35088348	82.93579865	N/A	54.86693954
Burkina-Faso		17084554	28.72921371	4.25951004	62.74811935	62.8589592	62.64113998	33.12532425	46.73374176
Bangladesh		157157394	59.72153854	1.939419985	74.55892944	79.83190918	69.51643372	83.30312347	78.90099335
Bulgaria		7265115	98.35244751	3.668669939	96.93238831	96.23309326	97.59091949	97.65106201	98.06692505
Bahrain		1349427	94.55679321	2.64470005	N/A	N/A	N/A	97.58233643	98.61991119
Bahamas		377841	N/A	N/A	93.16419983	94.85346985	91.52188873	N/A	N/A
Bosnia-and-Herzegovina		3823533	98.26412964	N/A	N/A	N/A	N/A	99.67260742	99.67208862
Belarus		9466000	99.6170578	5.276130199	99.76847076	99.61615753	99.91290283	99.84739685	99.80032349
