"","X","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","r","close"
"1",1,0,0,10.8485492563695,0,28.6268565983651,0,25.3115694549245,0,5.53320845464047,4.85185262375159,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,16.1767053684748,"FALSE"
"2",2,0,0,10.0207320705957,0,19.3919113882457,0,17.1497184996335,0,9.20057113942785,12.1126998710839,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,15.5971678158575,"FALSE"
"3",3,0,0,5.10654834293831,0,19.9073110191903,0,23.0004077828253,0,4.55744494394114,13.5714667377485,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,15.0633028056351,"FALSE"
"4",4,0,0,6.03417490262955,0,13.0542311718135,0,23.2814373229152,0,9.32458526852196,8.30847880962193,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,14.6019524799933,"FALSE"
"5",5,0,0,7.01080669511567,0,10.8915498685145,0,10.0927945199261,0,3.96052806604873,12.2173236371508,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,12.0639431720166,"FALSE"
"6",6,0,0,8.66528640582671,0,14.6679430410667,0,20.3999169608483,0,2.50984858441612,7.68850327154215,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,13.2137840816159,"FALSE"
"7",7,0,0,4.64616644040663,0,15.2443688240363,0,16.8521108137446,0,6.88021154933964,13.5822989506568,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,14.0597968103849,"FALSE"
"8",8,0,0,4.09008559345037,0,16.8099911236737,0,20.2588259279987,0,6.16523601161413,12.1572968697388,17.7899454164669,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,12.0512986578492,"FALSE"
"9",9,0,0,3.89338480698356,0,17.5834689036132,0,10.4482281091286,0,4.61001007637811,11.0948002006482,10.7658855844235,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,9.72823914161166,"FALSE"
"10",10,0,0,4.57896955873598,0,5.68399888650108,0,0,0,7.73317703011598,13.1176567253844,13.189836512227,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,9.23299345008461,"FALSE"
"11",11,0,0,3.81419137403433,0,11.4247117580801,0,0,0,9.17159113213055,17.7153055287045,15.2638106659699,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,10.9989154096221,"FALSE"
"12",12,0,0,1.2134961734349,0,6.5348399094231,0,0,0,0,18.8387345424031,6.34644196711735,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,8.55059340422144,"FALSE"
"13",13,6.62442172480309,0,3.22141606535745,0,10.1703768009879,0,0,0,0,0,10.074592049148,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,6.73279723810903,"FALSE"
"14",14,1.69556945070874,0,0,0,2.53061030290889,0,0,0,0,0,4.4542722763297,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.46574598640356,"FALSE"
"15",15,1.04989809146542,0,0,0,5.42416783799422,0,0,0,0,0,4.26155567963095,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.74467987664311,"FALSE"
"16",16,-0.424636366675803,0,0,0,5.80036062716605,0,0,0,0,0,0.395984732152055,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.31400233198981,"FALSE"
"17",17,0.894192060690857,0,0,0,2.50440997985474,0,0,0,0,0,6.1747029578008,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.50928311112851,"FALSE"
"18",18,2.55837714339756,7.61600093829857,0,0,5.2176847426364,0,0,0,0,0,6.46018903619872,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.57125576315077,"FALSE"
"19",19,7.3647723320324,1.69670435722363,0,0,3.23058916649317,0,0,0,0,0,5.66580361291801,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3.10982668877254,"FALSE"
"20",20,2.04620594200293,-0.0261320058575144,0,0,2.49197151935157,0,0,0,0,0,6.33824524022514,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2.2622455827692,"TRUE"
"21",21,0,4.42580533199344,0,0,1.28585445225766,0,0,0,0,0,1.21894921226236,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.91669551352235,"TRUE"
"22",22,0,2.81565880322296,0,0,0.49271954708297,0,0,0,0,0,3.84476982027221,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.83833655668759,"TRUE"
"23",23,0,5.63071632236961,0,0,2.32394039534815,0,0,0,0,0,7.5389928693207,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.69734213140373,"FALSE"
"24",24,0,6.95497480017725,0,0,1.76327688327353,0,0,0,0,0,4.76429861426994,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.55812128184632,"FALSE"
"25",25,0,2.47082380502888,0,0,0.281103185712156,0,0,0,0,0,3.15772296324277,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.71588971512284,"TRUE"
"26",26,0,4.33804479766098,0,0,0.957174609745078,0,0,0,0,0,3.42951316003828,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.04218420407412,"FALSE"
"27",27,0,5.09825711788881,0,0,0.457063150711987,0,0,0,0,0,7.92908675808742,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.42895100563613,"FALSE"
"28",28,14.2476553241751,7.498709666278,0,0,0,0,0.0527043840473349,0,0,0,6.37201974343541,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,6.14180430621191,"FALSE"
"29",29,7.09680909153177,3.06374152703178,0,0,0,1.8173418730578,0,0,0,0,4.05824460505586,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3.21168586669253,"FALSE"
"30",30,11.7412443133144,4.79120168187614,0,0,0,0.0841931138667862,0,0,0,0,3.75611643912872,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3.7859098101754,"FALSE"
